far	near
812	812
617	617
3824.009009	4995.376264
3.14884759	3.333435673
3.125133462	3.137595759
1.677192553	2.082979897
0.038732081	-0.497067695
-1.340160646	-2.090594287
1.666398042	2.506651676
0.01682564	0.021979656
180.4156773	190.9917954
179.0569578	179.7709948
96.09605472	119.3459569
