YufengLeft	x	y	z	u	v
X7.5Y2	-0.042	2.674	0.416	378	112
X8Y2	-0.043	2.522	0.299	407	269
X8Y2.5	0.191	2.613	0.296	597	227
X8Y3	0.355	2.551	0.299	740	241
6	-0.09	2.461	0.027	369	572
7	-0.035	2.029	0.026	464	762
8	-0.028	1.756	0.017	513	914
9	0.073	1.485	0.018	667	1068
11	0.172	2.255	0.032	636	634
12	0.215	1.868	0.024	761	819
